type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ssel1,ssel0,lsel2,lsel1,lsel0,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,,0,1,1,0,1,0,0,1,0,1,0110100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,1,1,0,0,0,1,0,1,0111000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,0,1,1,1,1,0,0,1,0,1,0111100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,0,0,0,0,0,1,0,1,1100000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,0,0,1,0,0,1,0,1,1100100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,0,1,0,0,0,1,0,1,1101000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,0,1,1,0,0,1,0,1,1101100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,1,0,0,0,0,1,0,1,1110000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,1,0,1,0,0,1,0,1,1110100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,1,1,0,0,0,1,0,1,1111000101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
,,1,1,1,1,1,0,0,1,0,1,1111100101,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011100000000011001
STORE,sb,0,0,0,0,0,0,1,0,0,0,0000001000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0100000000000000011
,,1,0,0,0,0,0,1,0,0,0,1000001000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0100000000000000011
,,0,1,0,0,0,0,1,0,0,0,0100001000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0100000000000000011
,,1,1,0,0,0,0,1,0,0,0,1100001000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0100000000000000011
,sh,0,0,0,0,1,0,1,0,0,0,0000101000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000000000011
,,1,0,0,0,1,0,1,0,0,0,1000101000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000000000011
,,0,1,0,0,1,0,1,0,0,0,0100101000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000000000011
,,1,1,0,0,1,0,1,0,0,0,1100101000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000000000011
,sw,0,0,0,1,0,0,1,0,0,0,0001001000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1100000000000000011
,,1,0,0,1,0,0,1,0,0,0,1001001000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1100000000000000011
,,0,1,0,1,0,0,1,0,0,0,0101001000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1100000000000000011
,,1,1,0,1,0,0,1,0,0,0,1101001000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1100000000000000011
